PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
LAFAYETTE PLAYGROUND ON LAFAYETTE AVENUE,0.517,0.002093117,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WASHINGTON PARK BRONX,0.516,0.002089069,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,1,0,0,0,0,1
PAT WILLIAMS PLAYGROUND,0.514,0.002080972,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GREENPOINT PLAYGROUND,0.504,0.002040486,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
PIERREPONT PLAYGROUND,0.503,0.002036437,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
EPIPHANY PLAYGROUND,0.5,0.002024291,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
JOHN ADAMS PLAYGROUND,0.494,0.002,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
LEVY PLAYGROUND,0.49,0.001983806,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CLEMENT CLARKE MOORE PARK,0.489,0.001979757,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CHARLTON GARDEN,0.488,0.001975709,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
THOMAS J. CUITE PARK,0.487,0.00197166,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CHERRY CLINTON PLAYGROUND,0.483,0.001955466,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
HILTON WHITE PLAYGROUND,0.477,0.001931174,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
TURTLE PLAYGROUND,0.476,0.001927126,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MILESTONE PARK,0.476,0.001927126,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MATTHEWS - PALMER PLAYGROUND,0.475,0.001923077,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,1,0,0,0,1
FAIRMOUNT PLAYGROUND,0.47,0.001902834,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MOTHER CABRINI PARK,0.467,0.001890688,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
VIRGINIA PLAYGROUND,0.461,0.001866397,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND C,0.46,0.001862348,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
RAINBOW PLAYGROUND,0.46,0.001862348,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND E,0.46,0.001862348,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
TEN EYCK PLAZA,0.46,0.001862348,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND D,0.46,0.001862348,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
UNDERBRIDGE DOG RUN,0.457,0.001850202,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WILLIAM MCCRAY PLAYGROUND,0.456,0.001846154,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
LOUIS ARMSTRONG COMMUNITY CENTER,0.452,0.00182996,RECREATION CENTER LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ABC PLAYGROUND,0.451,0.001825911,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
MIDDLE VILLAGE PLAYGROUND,0.448,0.001813765,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
YAK PLAYGROUND,0.444,0.001797571,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BUTTERFLY GARDENS,0.442,0.001789474,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HAVEMEYER PLAYGROUND,0.442,0.001789474,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PLAYGROUND ONE,0.44,0.001781377,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
GARIBALDI PLAYGROUND,0.437,0.001769231,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MORRIS GARDEN,0.436,0.001765182,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,1,0,0,0,1
MCCAFFREY PLAYGROUND,0.436,0.001765182,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ADMIRAL TRIANGLE,0.433,0.001753036,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HORSESHOE PLAYGROUND,0.432,0.001748988,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HUNTS POINT RIVERSIDE PARK,0.426,0.001724696,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
TOMPKINSVILLE PARK,0.424,0.001716599,PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,1,0,0,0,0,1
WEST 4TH STREET COURTS,0.42,0.001700405,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,2,0,2
MOSHOLU PLAYGROUND,0.412,0.001668016,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,1,0,1
LIOTTI IKEFUGI PLAYGROUND,0.408,0.001651822,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
JOSEPH C. SAUER PARK,0.403,0.001631579,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PLAYGROUND EIGHTY NINE LXXXIX,0.402,0.00162753,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
VAN NEST PARK,0.401,0.001623482,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
JOSEPHINE CAMINITI PLAYGROUND,0.398,0.001611336,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,1,1,0,0,0,2
RODNEY PARK SOUTH,0.392,0.001587045,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
IMAGINATION PLAYGROUND,0.385,0.001558704,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CHELSEA RECREATION CENTER,0.385,0.001558704,RECREATION CENTER LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
HINES PARK,0.383,0.001550607,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
GOBLE PLAYGROUND,0.381,0.00154251,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,1,0,1,0,2
GRAND PLAYGROUND,0.381,0.00154251,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
RODNEY PARK NORTH,0.37,0.001497976,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ST. MARY'S PARK PLAYGROUND BROOKLYN,0.367,0.00148583,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MARCY PARK SOUTH,0.357,0.001445344,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BLEECKER PLAYGROUND,0.356,0.001441296,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
MCLAUGHLIN PLAYGROUND,0.356,0.001441296,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HARLEM ART PARK,0.347,0.001404858,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
VINCENT F. ALBANO JR. PLAYGROUND,0.346,0.00140081,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ST. MARY'S PARK BROOKLYN,0.345,0.001396761,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,1,0,1,0,2
JEROME PLAYGROUND SOUTH,0.345,0.001396761,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
WALTON PARK,0.344,0.001392713,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,1,0,1
SUTTON PLACE PARK,0.342,0.001384615,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
REV LENA IRONS UNITY PARK,0.342,0.001384615,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,1,0,1
KINGSBRIDGE HEIGHTS COMMUNITY CENTER,0.329,0.001331984,RECREATION CENTER LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MACARTHUR PARK,0.329,0.001331984,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SLEDGE PLAYGROUND,0.328,0.001327935,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BERRY PLAYGROUND,0.327,0.001323887,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FREEDOM SQUARE PLAYGROUND,0.327,0.001323887,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LONG ISLAND MEWS,0.323,0.001307692,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BLACK ROCK PLAYGROUND,0.322,0.001303644,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HOT SPOT TOT LOT,0.322,0.001303644,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
RODNEY PLAYGROUND SOUTH,0.319,0.001291498,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
BRIDGE AND TUNNEL PARK,0.318,0.001287449,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
STOP & GO PLAYGROUND,0.316,0.001279352,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MACLAUGHLIN PLAYGROUND,0.304,0.001230769,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HARRY CHAPIN PLAYGROUND,0.3,0.001214575,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ANNADALE GREEN,0.3,0.001214575,PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
WEEKSVILLE PLAYGROUND,0.295,0.001194332,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DODGER PLAYGROUND,0.293,0.001186235,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HANSBOROUGH RECREATION CENTER,0.29,0.001174089,POOL & RECREATION CENTER LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ELIZABETH STROUD PLAYGROUND,0.29,0.001174089,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
RODNEY PLAYGROUND NORTH,0.29,0.001174089,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
A.R.R.O.W. FIELD HOUSE,0.29,0.001174089,BASKETBALL & REC CENTER LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
JENNIE JEROME PLAYGROUND,0.287,0.001161943,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PLAYGROUND 115,0.287,0.001161943,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MARINERS HARBOR PLAYGROUND,0.271,0.001097166,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
YOUTH VILLAGE,0.27,0.001093117,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BEANSTALK PLAYGROUND,0.267,0.001080972,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
DESALVIO PLAYGROUND,0.266,0.001076923,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DAN ROSS PLAYGROUND,0.256,0.001036437,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DREAM STREET PARK,0.252,0.001020243,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SIDNEY HILLMAN PLAYGROUND,0.245,0.000991903,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SUNSHINE PLAYGROUND,0.24,0.00097166,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
RODNEY PARK CENTER,0.237,0.000959514,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SORRENTINO RECREATION CENTER,0.231,0.000935223,RECREATION CENTER LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ST. GREGORY'S PLAYGROUND,0.231,0.000935223,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
UMMA PARK,0.23,0.000931174,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,2,0,0,0,2
WILLIAM F MOORE PARK,0.23,0.000931174,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MARY O'CONNOR PLAYGROUND,0.229,0.000927126,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
GENE GRAY PLAYGROUND,0.229,0.000927126,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
OGDEN PLIMPTON PLAYGROUND,0.229,0.000927126,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
DOWNING STREET PLAYGROUND,0.223,0.000902834,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PLAYGROUND THIRTY FIVE XXXV,0.218,0.000882591,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ROLF HENRY PLAYGROUND,0.213,0.000862348,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
P.S. 125 PLAYGROUND,0.208,0.000842105,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TONY DAPOLITO RECREATION CENTER,0.208,0.000842105,POOL & RECREATION CENTER LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ASTORIA HEALTH PLAYGROUND,0.207,0.000838057,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
DAVIDSON PLAYGROUND,0.207,0.000838057,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
CHIARANTANO PLAYGROUND,0.206,0.000834008,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MINETTA PLAYGROUND,0.206,0.000834008,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CORONA MAC PARK,0.205,0.00082996,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
THORPE FAMILY PLAYGROUND,0.201,0.000813765,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
SUNNERS PLAYGROUND,0.197,0.000797571,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TUDOR GROVE PLAYGROUND,0.192,0.000777328,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
RODNEY PLAYGROUND CENTER,0.189,0.000765182,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SEABURY PARK,0.186,0.000753036,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PENN TRIANGLE,0.183,0.000740891,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
EAE J MITCHELL PARK,0.183,0.000740891,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
METROPOLITAN RECREATION CENTER,0.181,0.000732794,POOL & RECREATION CENTER LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
RAMON APONTE PARK,0.174,0.000704453,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BILL BOJANGLES ROBINSON PLAYGROUND,0.172,0.000696356,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
FIELD OF DREAMS PARK,0.172,0.000696356,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,1,0,0,0,0,1
RECREATION CENTER 54,0.17,0.000688259,POOL & RECREATION CENTER LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PEARL ST PLAYGROUND,0.162,0.00065587,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
LEWIS PLAYGROUND,0.161,0.000651822,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
NORTH PACIFIC PLAYGROUND,0.155,0.00062753,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MORRIS MESA,0.15,0.000607287,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PEACE PARK,0.141,0.00057085,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
DUKE PARK,0.137,0.000554656,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SOBEL PLAYGROUND,0.135,0.000546559,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CAPTAIN JACOB JOSEPH PLAYGROUND,0.135,0.000546559,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
GRAND CANAL COURT,0.134,0.00054251,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
LT. FEDERICO NARVAEZ TOT LOT,0.125,0.000506073,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WEST 186TH STREET BASKETBALL COURT,0.123,0.000497976,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
SOPHIE IRENE LOEB,0.122,0.000493927,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BARRETTO PARK,0.12,0.00048583,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ABYSSINIAN TOT LOT,0.118,0.000477733,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
ALEXANDER'S ALLEY,0.11,0.000445344,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
EAST FLATBUSH CHILDREN'S PARK,0.106,0.00042915,PLAYGROUND LESS THAN ONE ACRE,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CORONA HEALTH SANCTUARY,0.101,0.000408907,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MOHEGAN TRIANGLE,0.096,0.000388664,PLAYGROUND LESS THAN ONE ACRE,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PLAYGROUND OF THE AMERICAS,0.079,0.000319838,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PRIVATE WILLIAM GRAY PARK,0.069,0.000279352,PLAYGROUND LESS THAN ONE ACRE,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ADRIENNE'S PLAYGROUND,0,0,PLAYGROUND LESS THAN ONE ACRE,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
